amfi_code,alpha_pct,beta,scheme_name
100016,3.747580763443281,-0.0582684314388089,HDFC Top 100 Fund - Regular Plan - Growth
100025,4.281792031506088,0.0011582183155281463,HDFC Short Term Debt Fund - Regular - Growth
100033,27.19535450128533,0.0051035258305283104,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,21.399784776051213,0.02108631625012803,ABSL Frontline Equity Fund - Regular - Growth
101207,10.897091901704538,-0.06528924788351524,ABSL Small Cap Fund - Regular - Growth
101208,6.086145795787115,0.00026670968338238433,ABSL Liquid Fund - Regular - Growth
102885,17.048756803412697,-0.019486785689474526,UTI Nifty 50 Index Fund - Regular - Growth
102886,2.8969397866379443,-0.04212502902189432,UTI Mid Cap Fund - Regular - Growth
102887,16.211256794033254,0.016682689437770827,UTI Flexi Cap Fund - Regular - Growth
118632,21.829397904608644,-0.008353832126962021,Nippon India Large Cap Fund - Regular - Growth
118633,15.643835948169668,-0.03663900671860934,Nippon India Large Cap Fund - Direct - Growth
118634,17.50072167561127,0.1034966369133759,Nippon India Small Cap Fund - Regular - Growth
118635,15.136354648239239,-0.001433521389780133,Nippon India ETF Nifty 50 BeES
118636,5.074772999976104,0.0012566742731558458,Nippon India Gilt Securities Fund - Regular - Growth
119092,6.899529821677549,0.009730745001153637,Axis Bluechip Fund - Regular - Growth
119093,8.232801295222094,0.02588321244009315,Axis Bluechip Fund - Direct - Growth
119094,26.07666908004223,-0.06626542862803757,Axis Midcap Fund - Regular - Growth
119095,4.801595363775955,-0.066951174639292,Axis Small Cap Fund - Regular - Growth
119120,5.620895216638369,-0.006413850728276477,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,23.201007160635083,-0.03175144113890972,SBI Bluechip Fund - Regular Plan - Growth
119552,19.86859936686296,-0.026159307513513405,SBI Bluechip Fund - Direct Plan - Growth
119598,30.336965386983323,-0.023196062044059693,SBI Small Cap Fund - Regular Plan - Growth
119599,4.882421594553985,0.06200180438267168,SBI Small Cap Fund - Direct Plan - Growth
120503,17.703302365844074,-0.0402689523698206,ICICI Pru Bluechip Fund - Regular - Growth
120504,21.19482701352573,0.016232169761417007,ICICI Pru Bluechip Fund - Direct - Growth
120505,29.26358334175106,0.000549004250631712,ICICI Pru Midcap Fund - Regular - Growth
120506,16.25385327998104,0.04189646272811977,ICICI Pru Value Discovery Fund - Regular - Growth
120507,6.746210411099539,-0.0004440926329707234,ICICI Pru Liquid Fund - Regular - Growth
120841,13.042924450705446,0.036356399022199795,Kotak Bluechip Fund - Regular - Growth
120842,7.80443887615508,0.01805687420811816,Kotak Emerging Equity Fund - Regular - Growth
120843,27.330465038306055,-0.02282956979242654,Kotak Flexicap Fund - Regular - Growth
120844,6.4556774953759986,-0.00040074423947840013,Kotak Liquid Fund - Regular - Growth
125497,17.729754927531765,0.04882040425957739,HDFC Top 100 Fund - Direct Plan - Growth
125498,11.98910097121797,0.009054412621739154,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,26.98375144191807,0.023683558075848623,Mirae Asset Large Cap Fund - Regular - Growth
148568,20.873010086942337,-0.026387719943843004,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,28.27036785246582,0.018133884083859245,Mirae Asset Tax Saver Fund - Regular - Growth
149322,13.173190226099432,-0.004050271130006534,DSP Top 100 Equity Fund - Regular - Growth
149323,26.598577542043046,-0.002523004664699247,DSP Midcap Fund - Regular - Growth
149324,30.05787817097677,0.011455159960520708,DSP Small Cap Fund - Regular - Growth
